filename,p1,p2,dice1,dice2,abs_dice_diff,box_iou
1003_pid-112746_pituitary.png,P12,P18,0.0,0.0,0.0,0.9661016949152542
1003_pid-112746_pituitary.png,P12,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P12,P20,0.0,0.0,0.0,0.8507462686567164
1003_pid-112746_pituitary.png,P13,P14,0.0,0.0,0.0,0.9365079365079365
1003_pid-112746_pituitary.png,P13,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P13,P16,0.0,0.0,0.0,0.9084239817859854
1003_pid-112746_pituitary.png,P13,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P13,P18,0.0,0.0,0.0,0.9365079365079365
1003_pid-112746_pituitary.png,P13,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P13,P20,0.0,0.0,0.0,0.9402985074626866
1003_pid-112746_pituitary.png,P14,P15,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P14,P16,0.0,0.0,0.0,0.8507462686567164
1003_pid-112746_pituitary.png,P14,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P14,P18,0.0,0.0,0.0,1.0
1003_pid-112746_pituitary.png,P14,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P14,P20,0.0,0.0,0.0,0.8805970149253731
1003_pid-112746_pituitary.png,P15,P16,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P15,P17,0.0,0.0,0.0,0.4438948190575371
1003_pid-112746_pituitary.png,P15,P18,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P15,P19,0.0,0.0,0.0,0.45413547397853343
1003_pid-112746_pituitary.png,P15,P20,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P16,P17,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P16,P18,0.0,0.0,0.0,0.8507462686567164
1003_pid-112746_pituitary.png,P16,P19,0.0,0.0,0.0,0.0
1003_pid-112746_pituitary.png,P16,P20,0.0,0.0,0.0,0.9109909023850504
